taxon,family,group,flora_of_north_america,flora_of_china,moss_flora_of_china,flora_of_pakistan,ecoflora,wikipedia
Hornstedtia,,Angiosperm,,"

Rhizomes creeping, branched, woody. Pseudostems robust. Leaves sessile or petiolate; ligule conspicuous; leaf blade lanceolate. Inflorescence arising from rhizomes near base of pseudostems, often ca. 1/2 embedded in ground, an ovoid or fusiform spike; peduncle usually short, clothed with 2-ranked, scalelike sheaths; bracts densely imbricate, outer ones leathery, sterile, inner ones membranous, slimy, 1-flowered; bracteoles open, not tubular. Calyx tubular, widened distally, split on 1 side, apex 3-toothed or 2-lobed. Corolla tube slender, apex usually incurved at a right angle; lobes 3, central one erect, hooded, lateral ones spreading, partly adnate to labellum. Lateral staminodes reduced to small teeth at base of labellum or absent. Labellum equaling corolla lobes, narrow, concave, and fleshy, triangular, ovate, or hastate when flattened, base auriculate, apex oblong-rounded. Filament short or absent; connective appendage orbicular or absent. Ovary oblong, 3-loculed. Style slender; stigma funnelform. Stylodes 2--8, united or free. Capsule subcylindric or nearly 3-angled, smooth; pericarp tough, splitting irregularly near base. Seeds black, many angled, base covered with white aril.


 Hornstedtia arunachalensis S. Tripathi & V. Prakash (Nordic J. Bot. 19: 329. 1999) was recently described from extreme SE Xizang. It was compared with the Malesian species,  H. scyphifera (J. König) Steudel, from which it differs in having fusiform, closed-mouthed inflorescences, white corolla lobes, and a whitish labellum without lateral auricles. No specimens have been seen by the present authors. From the description and illustration,  H. arunachalensis seems similar to  H. tibetica, and the two may perhaps be conspecific.",,,,
Kaempferia,,Angiosperm,,"

Rhizomes fleshy, tuberous; roots often bearing small tubers. Pseudostem short or obsolete. Leaves 1 to few; ligule usually small or absent; petiole short; leaf blade suborbicular to filiform, sometimes variegated or abaxially purple. Inflorescences terminal on pseudostems or on separate shoots arising from rhizomes (when appearing before pseudostems), capitate, spirally few to many flowered; bracts 1-flowered; bracteoles small, apically 2-lobed or sometimes 2-cleft to base. Calyx tubular, split on 1 side, apex unequally 2- or 3-toothed. Corolla tube equaling or much longer than calyx; lobes spreading or reflexed, lanceolate, subequal. Lateral staminodes petaloid. Labellum usually white or lilac, sometimes marked with different color near base, showy, apically 2-lobed to 2-cleft to base. Filament very short or absent; connective extended into crest exserted from throat of flower, entire or 2-cleft. Ovary 3-loculed. Capsule globose or ellipsoid; pericarp thin. Seeds subglobose to ellipsoid; aril lacerate.",,,,
Plagiostachys,,Angiosperm,,"

Rhizomes on or just below ground, producing closely grouped pseudostems. Ligule usually deeply 2-lobed; leaf blade lanceolate or linear. Inflorescences breaking through leaf sheaths, ovoid, oblong, or conical; bracts densely arranged, margin entire or fimbriate; bracteoles tubular, at least distal ones becoming slimy and decaying early. Calyx tubular or funnelform, split on 1 side, apex 3-toothed. Corolla fleshy; tube shorter than or equaling calyx; lobes oblong or ovate, central one erect, hooded. Lateral staminodes toothlike or subulate. Labellum oblong, flat, apex 2-lobed or entire. Filament thickened, short; anther oblong, apex emarginate; connective appendage absent. Ovary small. Stylodes short. Capsule ovoid or ellipsoid; pericarp dry, brittle. Seeds 3 or 4 per valve, angled.",,,,
Pommereschea,,Angiosperm,,"

Pseudostems slender. Leaves shortly petiolate; leaf blade cordate or subsagittate at base. Inflorescence a terminal spike; bracts and bracteoles present. Calyx tubular or clavate, split on 1 side, apex 2- or 3-toothed. Corolla tube cylindric, longer than calyx; lobes lanceolate, central one larger than lateral ones. Lateral staminodes absent. Labellum erect, narrowly spatulate, base adnate to filament or not, apex 2-cleft or -lobed. Filament exserted from corolla, distally grooved. Style filiform; stigma cupular, ciliate. Ovary 3-loculed; ovules numerous, biseriate; placentation axile. Capsule subglobose or ellipsoid, 3-valved, dehiscent or not; pericarp thin.",,,,
Pyrgophyllum,,Angiosperm,,"

Rhizomes globose; roots thick. Pseudostems erect. Ligule 2-cleft, membranous; petiole channeled; leaf blade ovate or oblong-lanceolate. Inflorescences terminal on pseudostems; bracts 1--3, large, concave, margin basally adnate to main rachis of inflorescence, apex with leaflike extension. Flowers sessile, yellow, soon withering. Calyx tubular, deeply split on 1 side, apex 2-toothed. Corolla tube longer than calyx; central lobe wider than lateral ones. Lateral staminodes sublinear, equaling corolla lobes. Labellum 2-lobed at apex; lobes ovate. Filament short; anther basifixed; connective appendage conspicuous, deltoid, entire. Ovary obovoid, 3-loculed. Stylodes 2, linear. Capsule subglobose. Seeds ovoid.",,,,
Rhynchanthus,,Angiosperm,,"

Rhizomes tuberous. Pseudostems leafy. Leaves sessile or shortly petiolate; leaf blade oblong-lanceolate or elliptic-oblong. Inflorescence a terminal spike, few flowered; bracts colored; bracteoles small. Calyx tubular, split to above middle on 1 side, apex minutely toothed. Corolla tube subcylindric; lobes erect, ovate-lanceolate or lanceolate, central one larger than lateral ones. Lateral staminodes absent. Labellum reduced to a tooth at base of filament or absent. Filament exserted above corolla, long, boat-shaped, margin incurved; anther locules parallel; connective without appendage or spur. Ovary 3-loculed; ovules many per locule, superposed. Stylodes 2, subfusiform. Capsule unknown.",,,,
Roscoea,,Angiosperm,,"

Herbs small, with annual pseudostems from erect, reduced rhizome; roots fascicled, tuberous, fusiform. Ligule a curved line at junction of tubular leaf sheath and leaf blade; petiole absent; leaf blade oblong or lanceolate. Inflorescence terminal on pseudostems, a spike; peduncle short and enclosed by leaf sheaths to long and exserted; bracts persistent, 1-flowered; bracteoles absent. Calyx tubular, split on 1 side, apex 2- or 3-toothed. Corolla tube usually exserted from calyx, slender, wider at throat; central lobe erect, usually cucullate; lateral lobes spreading, narrower than central one, usually free. Lateral staminodes erect, petaloid. Labellum reflexed or not, cuneate, large, apex emarginate to 2-lobed. Filament short; anther linear; connective extended at base into a spur. Ovary cylindric or oblong, 3-loculed; ovules numerous per locule, superposed. Style filiform; stigma funnelform, margin ciliate. Capsule oblong, cylindric, or clavate, 3-valved. Seeds small, arillate.",,"

Herb with thick fleshy roots. Leaves lanceolate to oblong. Flowers in terminal spikes; bracts persistent. Calyx tube long, split on one side. Corolla tube as long as or longer than the calyx; anterior segment usually cucullate, sometimes enveloping the petaloid staminodes and stamen. Anther versatile, spurred at the base. Ovary 3-locular, placentaion axile, stigma erect, turbinate or hooked, infundibuliform. Capsule membranous, 3-valved.",,"Roscoea is found from Kashmir through the Himalayas to Vietnam, extending northwards into China. There are up to 22 recognized species, of which 8 are endemic to China.[1][2] Typically they grow in grassland, in screes or on the edges of deciduous woodland at heights of 1,200–5,000 metres (3,900–16,400 ft), coming into growth at the start of the monsoon season.[3]

Species of Roscoea are small perennial herbaceous plants. They die back each year to a short vertical rhizome, to which the tuberous roots are attached. Like many members of the Zingiberales (the order to which the gingers belong), Roscoea has ""pseudostems"": structures which resemble stems but are actually formed from the tightly wrapped bases of its leaves (""sheaths""). The leaves are without a stalk (petiole). Lower leaves may consist solely of a sheath; upper leaves have a blade which is free from the pseudostem, and is oblong or lanceolate (i.e. considerably longer than it is wide).[2] The relative number of bladeless versus complete leaves is one distinguishing feature of the two clades into which the genus is divided.[4]

The flowers are borne in a spike at the end of the pseudostems. The stalk (peduncle) bearing the flowers may be long, so that the flowers appear well above the leaves, or short, so that they appear between the upper leaf sheaths.[5] Like other members of the ginger family (Zingiberaceae), Roscoea flowers have a complex structure (superficially resembling that of an orchid,[6] although they are not related). Each flower has a tube-shaped outer calyx, which is split on one side and ends in two or three teeth. The petals are joined together at the base, and then divide into three lobes. The central lobe is upright and usually forms a hood; the two side lobes are narrower than the central one. The flower then has what appear to be three inner petals, which are actually formed from four sterile stamens (staminodes). Two lateral staminodes form what look like upright petals, often also hooded in shape; two other staminodes are fused together to form a prominent central ""lip"" or labellum.[2][Note 1]

The single fertile stamen has a short filament bearing a cylindrical anther. The connective tissue between the anther's two pollen sacs extends outwards at its base to form spurs. The ovary has three ""cells"" or locules, eventually producing many small arillate seeds. The single functional style extends upwards through a grove in the stamen to appear above its top.[2][7]


"
Siliquamomum,,Angiosperm,,"

Pseudostems erect. Leaves petiolate; leaf blade lanceolate or lanceolate-oblong. Inflorescence a terminal raceme, laxly few flowered; bracts small. Pedicel long, articulate near apex. Calyx tubular-campanulate, split on 1 side, apex 2- or 3-toothed. Corolla tube narrowly cylindric, apex dilated, campanulate; lobes very narrow, apex obtuse, central lobe larger than lateral ones. Lateral staminodes narrowly obovate. Labellum obovate, large, apical margin undulate. Filament short; anther linear, apex with a membranous appendage not derived from connective. Ovary 3-loculed basally, 1-loculed apically. Capsule cylindric, torulose.",,,,
Stahlianthus,,Angiosperm,,"

Rhizomes tuberous. Pseudostems absent. Leaves few, arising directly from rhizomes, petiolate; leaf blade obovate- or lanceolate-oblong or lanceolate. Inflorescences pedunculate, capitate, surrounded by a campanulate involucre, several flowered. Calyx tubular, apex slightly 3-toothed. Corolla white, tubular, distally 3-lobed. Staminodes white, petaloid. Labellum white, rarely purple, with a central, yellow blotch, apex emarginate or shortly 2-lobed. Filament short, flat; connective appendage flat or absent. Ovary 3-loculed. Stylodes absent. Seeds globose.",,,,
Zingiber,,Angiosperm,"

Pseudostems well -developed, 1--2 m. Inflorescences terminating short stem with only scale leaves [projecting from side or tip of pseudostem], dense, conelike; bracts of main axis crowded, 1--3[--5], reniform or very broadly ovate [to lance-elliptical or lanceolate]; cincinni sessile, 1-flowered, enclosed in bracts; bracteoles small, inconspicuous, hidden by bracts. Flowers: calyx cylindric, shortly 3-lobed, split down one side; corolla tube cylindric, dilated distally, lobes lanceolate; filament short or nearly absent; anther enclosed within upper petal, not spurred, terminal appendage long; lateral staminodes absent or reduced to small teeth connate with lip, lip plane, entire, notched, or 3-lobed. Fruits capsule, ellipsoid. x = 11.","

Rhizomes branched, tuberous, aromatic. Pseudostems erect, leafy. Leaves distichous, held in plane parallel to rhizome; petiole swollen, cushionlike; leaf blade oblong, lanceolate, or linear. Inflorescences conical, arising from rhizomes on peduncle clothed with scalelike sheaths, rarely breaking through leaf sheaths without peduncle; bracts closely imbricate, green or other color, 1-flowered, persistent; bracteoles not tubular. Calyx tubular, split on 1 side, apex 3-toothed. Corolla tube slender; central lobe white or cream, usually wider than lateral lobes. Lateral staminodes adnate to labellum, forming a 3-lobed labellum; central lobe retuse or cleft at apex. Filament short; connective with elongate appendage wrapped around style. Ovary 3-loculed; ovules numerous per locule; placentation axile. Style slender, extending beyond anther locules; stigma not expanded. Capsule dehiscent loculicidally or irregularly. Seeds black, covered by aril; aril white, margin irregularly lacerate.",,"

Rhizome fleshy. Leaf shoots tall, usually many-bladed. Inflorescence borne separately on a leafless peduncle. Bracts large, imbricating, each subtending a single flower. Bracteoles open to the base. Calyx tubular, unilaterally split. Lateral staminodes adnate to the labellum, thus forming a 3-lobed structure. Filament short; anther connective prolonged into an elongated crest which embraces the upper part of the style.",,
